Hydrocarbon,Ti (K),equivalent ratio,Pressure (atm),LBV (cm/s)
CH4/NH3/H2-air,735.6,0.7,5.0,79.7
CH4/NH3/H2-air,740.7,0.7,5.0,70.6
CH4/NH3/H2-air,746.7,0.8,1.0,126.2
CH4/NH3/H2-air,747.3,0.8,1.0,130.4
CH4/NH3/H2-air,750.0,0.695,1.0,148.783
CH4/NH3/H2-air,750.0,0.7,5.0,78.553
CH4/NH3/H2-air,750.0,0.791,1.0,164.701
CH4/NH3/H2-air,750.0,0.795,5.0,93.28
CH4/NH3/H2-air,750.0,0.796,1.0,186.131
CH4/NH3/H2-air,750.0,0.798,5.0,102.805
CH4/NH3/H2-air,750.0,0.892,1.0,202.048
CH4/NH3/H2-air,750.0,0.898,1.0,178.244
CH4/NH3/H2-air,750.0,0.9,5.0,117.932
CH4/NH3/H2-air,750.0,0.994,1.0,190.193
CH4/NH3/H2-air,750.0,0.995,5.0,126.707
CH4/NH3/H2-air,750.0,0.997,1.0,208.447
CH4/NH3/H2-air,750.0,1.004,5.0,131.473
CH4/NH3/H2-air,750.0,1.093,1.0,195.796
CH4/NH3/H2-air,750.0,1.102,1.0,189.452
CH4/NH3/H2-air,750.0,1.103,5.0,130.727
CH4/NH3/H2-air,750.0,1.198,1.0,181.959
CH4/NH3/H2-air,750.0,1.199,5.0,120.06
CH4/NH3/H2-air,750.0,1.294,1.0,177.64
CH4/NH3/H2-air,750.0,1.295,5.0,94.314
CH4/NH3/H2-air,750.0,1.297,1.0,159.389
CH4/NH3/H2-air,750.0,1.301,5.0,99.079
CH4/NH3/H2-air,750.0,1.396,1.0,158.643
CH4/NH3/H2-air,750.0,1.404,5.0,72.94
CH4/NH3/H2-air,750.9,1.0,1.0,178.9
CH4/NH3/H2-air,750.9,1.0,5.0,171.1
CH4/NH3/H2-air,752.1,0.7,5.0,82.8
CH4/NH3/H2-air,752.7,0.7,5.0,73.7
DME - air mixture,300.0,0.694,1.0,24.171
DME - air mixture,300.0,0.694,1.0,29.002
DME - air mixture,300.0,0.698,1.0,22.349
DME - air mixture,300.0,0.7,1.0,22.507
DME - air mixture,300.0,0.703,1.0,21.952
DME - air mixture,300.0,0.796,1.0,34.38
DME - air mixture,300.0,0.798,1.0,32.479
DME - air mixture,300.0,0.799,1.0,28.994
DME - air mixture,300.0,0.801,1.0,28.915
DME - air mixture,300.0,0.803,1.0,30.024
DME - air mixture,300.0,0.897,1.0,35.402
DME - air mixture,300.0,0.897,1.0,41.501
DME - air mixture,300.0,0.899,1.0,37.461
DME - air mixture,300.0,0.902,1.0,32.946
DME - air mixture,300.0,0.906,1.0,36.035
DME - air mixture,300.0,0.995,1.0,44.266
DME - air mixture,300.0,0.999,1.0,41.572
DME - air mixture,300.0,1.0,1.0,39.434
DME - air mixture,300.0,1.002,1.0,42.126
DME - air mixture,300.0,1.1,1.0,44.376
DME - air mixture,300.0,1.102,1.0,45.129
DME - air mixture,300.0,1.102,1.0,43.742
DME - air mixture,300.0,1.152,1.0,47.263
DME - air mixture,300.0,1.177,1.0,47.34
DME - air mixture,300.0,1.198,1.0,42.269
DME - air mixture,300.0,1.2,1.0,45.596
DME - air mixture,300.0,1.201,1.0,41.794
DME - air mixture,300.0,1.203,1.0,44.804
DME - air mixture,300.0,1.296,1.0,37.034
DME - air mixture,300.0,1.298,1.0,44.242
DME - air mixture,300.0,1.299,1.0,40.519
DME - air mixture,300.0,1.301,1.0,37.984
DME - air mixture,300.0,1.397,1.0,35.996
DME - air mixture,300.0,1.397,1.0,35.6
DME - air mixture,300.0,1.401,1.0,31.402
DME - air mixture,300.0,1.406,1.0,33.065
DME - air mixture,300.0,1.448,1.0,34.804
DME - air mixture,300.0,1.499,1.0,27.157
DME - air mixture,300.0,1.502,1.0,27.83
DME - air mixture,300.0,1.532,1.0,29.649
DME - air mixture,300.0,1.583,1.0,26.793
DME - air mixture,300.0,1.597,1.0,19.901
DME - air mixture,300.0,1.604,1.0,15.148
DME - air mixture,300.0,1.607,1.0,19.425
DME - air mixture,300.0,1.64,1.0,24.175
DME - air mixture,378.579,1.0,1.0,54.813
DME - air mixture,391.67,1.0,1.0,59.177
DME - air mixture,401.106,1.0,1.0,58.981
DME - air mixture,406.114,1.0,1.0,63.308
DME - air mixture,422.116,1.0,1.0,67.899
DME - air mixture,423.388,1.0,1.0,63.695
DME - air mixture,434.961,1.0,1.0,72.495
DME - air mixture,436.897,1.0,1.0,67.707
DME - air mixture,445.897,1.0,1.0,76.17
DME - air mixture,446.502,1.0,1.0,87.246
DME - air mixture,447.894,1.0,1.0,88.289
DME - air mixture,456.536,1.0,1.0,87.0
DME - air mixture,459.516,1.0,1.0,87.095
DME - air mixture,460.926,1.0,1.0,80.762
DME - air mixture,461.612,1.0,1.0,72.656
DME - air mixture,471.912,1.0,1.0,95.976
DME - air mixture,472.33,1.0,1.0,96.078
DME - air mixture,480.287,1.0,1.0,86.04
DME - air mixture,490.726,1.0,1.0,81.387
DME - air mixture,492.294,1.0,1.0,97.79
DME - air mixture,492.592,1.0,1.0,100.083
DME - air mixture,497.856,1.0,1.0,106.469
DME - air mixture,497.858,1.0,1.0,105.397
DME - air mixture,498.404,1.0,1.0,91.089
DME - air mixture,500.063,1.0,1.0,85.876
DME - air mixture,514.605,1.0,1.0,91.07
DME - air mixture,518.241,1.0,1.0,96.366
DME - air mixture,520.106,1.0,1.0,115.054
DME - air mixture,520.108,1.0,1.0,115.917
DME - air mixture,525.551,1.0,1.0,95.558
DME - air mixture,533.42,1.0,1.0,114.959
DME - air mixture,534.612,1.0,1.0,114.341
DME - air mixture,536.587,1.0,1.0,100.518
DME - air mixture,544.147,1.0,1.0,105.719
DME - air mixture,546.016,1.0,1.0,125.599
DME - air mixture,546.532,1.0,1.0,124.476
DME - air mixture,569.178,1.0,1.0,137.176
DME - air mixture,573.55,1.0,1.0,135.741
DME - air mixture,581.696,1.0,1.0,133.851
DME - air mixture,582.29,1.0,1.0,132.497
DME - air mixture,594.808,1.0,1.0,149.224
DME - air mixture,596.596,1.0,1.0,147.475
DME - air mixture,616.866,1.0,1.0,147.444
DME - air mixture,617.394,1.0,1.0,149.204
DME - air mixture,632.75,1.0,1.0,158.658
DME - air mixture,634.838,1.0,1.0,157.569
DME+Air,300.0,0.598,1.0,11.795
DME+Air,300.0,0.697,1.0,22.53
DME+Air,300.0,0.699,10.0,8.965
DME+Air,300.0,0.7,1.0,27.798
DME+Air,300.0,0.701,1.0,20.145
DME+Air,300.0,0.73,1.0,23.259
DME+Air,300.0,0.73,10.0,7.906
DME+Air,300.0,0.76,10.0,9.035
DME+Air,300.0,0.798,1.0,30.111
DME+Air,300.0,0.799,1.0,36.048
DME+Air,300.0,0.8,1.0,37.838
DME+Air,300.0,0.8,10.0,14.965
DME+Air,300.0,0.803,1.0,34.193
DME+Air,300.0,0.851,1.0,36.313
DME+Air,300.0,0.859,10.0,13.976
DME+Air,300.0,0.867,1.0,33.133
DME+Air,300.0,0.872,1.0,38.699
DME+Air,300.0,0.897,1.0,40.124
DME+Air,300.0,0.9,1.0,38.213
DME+Air,300.0,0.901,10.0,21.247
DME+Air,300.0,0.968,10.0,18.071
DME+Air,300.0,0.976,1.0,39.759
DME+Air,300.0,0.986,1.0,44.0
DME+Air,300.0,0.996,1.0,41.482
DME+Air,300.0,0.999,1.0,43.205
DME+Air,300.0,1.001,1.0,44.133
DME+Air,300.0,1.052,10.0,21.953
DME+Air,300.0,1.093,1.0,42.807
DME+Air,300.0,1.098,1.0,44.464
DME+Air,300.0,1.101,1.0,45.955
DME+Air,300.0,1.103,1.0,45.789
DME+Air,300.0,1.152,1.0,46.386
DME+Air,300.0,1.18,1.0,46.186
DME+Air,300.0,1.19,1.0,51.819
DME+Air,300.0,1.2,1.0,44.147
DME+Air,300.0,1.203,1.0,39.229
DME+Air,300.0,1.251,1.0,52.88
DME+Air,300.0,1.289,1.0,44.398
DME+Air,300.0,1.299,1.0,40.908
DME+Air,300.0,1.302,1.0,37.4
DME+Air,300.0,1.304,1.0,39.892
DME+Air,300.0,1.343,1.0,51.554
DME+Air,300.0,1.373,1.0,39.627
DME+Air,300.0,1.401,1.0,33.769
DME+Air,300.0,1.402,1.0,33.398
DME+Air,300.0,1.404,1.0,34.591
DME+Air,300.0,1.405,1.0,31.41
DME+Air,300.0,1.406,1.0,22.53
DME+Air,300.0,1.421,1.0,45.458
DME+Air,300.0,1.449,1.0,35.12
DME+Air,300.0,1.5,1.0,27.39
DME+Air,300.0,1.503,1.0,25.472
DME+Air,300.0,1.512,1.0,42.675
DME+Air,300.0,1.531,1.0,30.084
DME+Air,300.0,1.584,1.0,27.169
DME+Air,300.0,1.6,1.0,19.924
DME+Air,300.0,1.601,1.0,22.663
DME+Air,300.0,1.602,1.0,16.964
DME+Air,300.0,1.603,1.0,16.831
DME+Air,300.0,1.642,1.0,24.651
DME+Air,300.0,1.7,1.0,12.988
DME+Air,300.0,1.703,1.0,14.91
DME+Air,300.0,1.704,1.0,14.048
DME+Air,300.0,1.802,1.0,12.458
Ethanol+Air,300.0,0.549,1.0,15.133
Ethanol+Air,300.0,0.601,1.0,14.552
Ethanol+Air,300.0,0.606,1.0,17.361
Ethanol+Air,300.0,0.648,1.0,13.099
Ethanol+Air,300.0,0.65,1.0,17.554
Ethanol+Air,300.0,0.696,1.0,18.232
Ethanol+Air,300.0,0.698,1.0,21.187
Ethanol+Air,300.0,0.699,1.0,19.928
Ethanol+Air,300.0,0.7,1.0,21.235
Ethanol+Air,300.0,0.701,1.0,22.397
Ethanol+Air,300.0,0.705,1.0,19.879
Ethanol+Air,300.0,0.751,1.0,24.624
Ethanol+Air,300.0,0.797,1.0,24.528
Ethanol+Air,300.0,0.798,1.0,24.044
Ethanol+Air,300.0,0.799,1.0,29.332
Ethanol+Air,300.0,0.801,1.0,33.051
Ethanol+Air,300.0,0.803,1.0,27.143
Ethanol+Air,300.0,0.851,1.0,32.712
Ethanol+Air,300.0,0.899,1.0,34.165
Ethanol+Air,300.0,0.901,1.0,36.576
Ethanol+Air,300.0,0.905,1.0,34.019
Ethanol+Air,300.0,0.95,1.0,38.668
Ethanol+Air,300.0,0.998,1.0,36.198
Ethanol+Air,300.0,1.0,1.0,41.509
Ethanol+Air,300.0,1.008,1.0,40.702
Ethanol+Air,300.0,1.05,1.0,42.155
Ethanol+Air,300.0,1.056,1.0,44.77
Ethanol+Air,300.0,1.098,1.0,41.864
Ethanol+Air,300.0,1.1,1.0,43.866
Ethanol+Air,300.0,1.101,1.0,40.508
Ethanol+Air,300.0,1.102,1.0,46.223
Ethanol+Air,300.0,1.15,1.0,42.882
Ethanol+Air,300.0,1.154,1.0,45.835
Ethanol+Air,300.0,1.197,1.0,44.383
Ethanol+Air,300.0,1.198,1.0,43.511
Ethanol+Air,300.0,1.199,1.0,40.412
Ethanol+Air,300.0,1.2,1.0,41.937
Ethanol+Air,300.0,1.253,1.0,41.186
Ethanol+Air,300.0,1.299,1.0,35.278
Ethanol+Air,300.0,1.302,1.0,36.053
Ethanol+Air,300.0,1.303,1.0,36.15
Ethanol+Air,300.0,1.401,1.0,27.143
Ethanol+Air,300.0,1.402,1.0,27.24
Ethanol+Air,300.0,1.505,1.0,21.041
Ethanol+Air,358.0,0.607,1.0,24.221
Ethanol+Air,358.0,0.65,1.0,24.7
Ethanol+Air,358.0,0.658,1.0,29.976
Ethanol+Air,358.0,0.698,1.0,28.298
Ethanol+Air,358.0,0.7,1.0,30.935
Ethanol+Air,358.0,0.701,1.0,30.216
Ethanol+Air,358.0,0.71,1.0,30.935
Ethanol+Air,358.0,0.751,1.0,35.731
Ethanol+Air,358.0,0.757,1.0,36.211
Ethanol+Air,358.0,0.796,1.0,41.487
Ethanol+Air,358.0,0.801,1.0,39.329
Ethanol+Air,358.0,0.803,1.0,45.803
Ethanol+Air,358.0,0.809,1.0,38.849
Ethanol+Air,358.0,0.85,1.0,44.844
Ethanol+Air,358.0,0.855,1.0,44.125
Ethanol+Air,358.0,0.896,1.0,49.52
Ethanol+Air,358.0,0.9,1.0,46.643
Ethanol+Air,358.0,0.902,1.0,49.76
Ethanol+Air,358.0,0.952,1.0,54.676
Ethanol+Air,358.0,0.989,1.0,53.477
Ethanol+Air,358.0,0.997,1.0,57.554
Ethanol+Air,358.0,0.999,1.0,54.676
Ethanol+Air,358.0,1.002,1.0,63.549
Ethanol+Air,358.0,1.043,1.0,54.676
Ethanol+Air,358.0,1.051,1.0,56.355
Ethanol+Air,358.0,1.054,1.0,63.789
Ethanol+Air,358.0,1.09,1.0,55.156
Ethanol+Air,358.0,1.101,1.0,59.472
Ethanol+Air,358.0,1.103,1.0,59.472
Ethanol+Air,358.0,1.14,1.0,54.197
Ethanol+Air,358.0,1.151,1.0,57.074
Ethanol+Air,358.0,1.157,1.0,65.228
Ethanol+Air,358.0,1.19,1.0,52.998
Ethanol+Air,358.0,1.201,1.0,58.273
Ethanol+Air,358.0,1.202,1.0,55.156
Ethanol+Air,358.0,1.203,1.0,56.994
Ethanol+Air,358.0,1.255,1.0,61.391
Ethanol+Air,358.0,1.294,1.0,47.242
Ethanol+Air,358.0,1.298,1.0,49.88
Ethanol+Air,358.0,1.3,1.0,52.038
Ethanol+Air,358.0,1.302,1.0,46.043
Ethanol+Air,358.0,1.303,1.0,49.161
Ethanol+Air,358.0,1.306,1.0,54.197
Ethanol+Air,358.0,1.352,1.0,50.839
Ethanol+Air,358.0,1.396,1.0,37.41
Ethanol+Air,358.0,1.399,1.0,43.286
Ethanol+Air,358.0,1.401,1.0,37.89
Ethanol+Air,358.0,1.458,1.0,41.247
Ethanol+Air,358.0,1.502,1.0,35.492
Ethanol+Air,358.0,1.506,1.0,34.053
Ethanol+Air,373.0,0.699,10.0,14.008
Ethanol+Air,373.0,0.71,10.0,17.849
Ethanol+Air,373.0,0.798,10.0,16.983
Ethanol+Air,373.0,0.799,10.0,22.716
Ethanol+Air,373.0,0.802,10.0,27.26
Ethanol+Air,373.0,0.818,10.0,24.339
Ethanol+Air,373.0,0.9,10.0,31.695
Ethanol+Air,373.0,0.902,10.0,20.986
Ethanol+Air,373.0,0.916,10.0,29.856
Ethanol+Air,373.0,1.0,10.0,36.725
Ethanol+Air,373.0,1.002,10.0,25.529
Ethanol+Air,373.0,1.021,10.0,32.127
Ethanol+Air,373.0,1.098,10.0,29.207
Ethanol+Air,373.0,1.102,10.0,34.94
Ethanol+Air,373.0,1.124,10.0,31.911
Ethanol+Air,373.0,1.2,10.0,33.534
Ethanol+Air,373.0,1.221,10.0,30.072
Ethanol+Air,373.0,1.3,10.0,32.344
Ethanol+Air,373.0,1.302,10.0,25.853
Ethanol+Air,373.0,1.32,10.0,22.825
Ethanol+Air,373.0,1.402,10.0,23.149
Ethanol+Air,453.0,0.598,1.0,39.568
Ethanol+Air,453.0,0.648,1.0,38.609
Ethanol+Air,453.0,0.656,1.0,45.803
Ethanol+Air,453.0,0.698,1.0,53.237
Ethanol+Air,453.0,0.7,1.0,55.156
Ethanol+Air,453.0,0.701,1.0,44.604
Ethanol+Air,453.0,0.703,1.0,49.64
Ethanol+Air,453.0,0.751,1.0,51.079
Ethanol+Air,453.0,0.772,1.0,54.676
Ethanol+Air,453.0,0.801,1.0,63.549
Ethanol+Air,453.0,0.802,1.0,59.472
Ethanol+Air,453.0,0.803,1.0,66.906
Ethanol+Air,453.0,0.807,1.0,65.228
Ethanol+Air,453.0,0.85,1.0,68.345
Ethanol+Air,453.0,0.852,1.0,63.07
Ethanol+Air,453.0,0.9,1.0,71.703
Ethanol+Air,453.0,0.902,1.0,75.859
Ethanol+Air,453.0,0.95,1.0,82.014
Ethanol+Air,453.0,0.952,1.0,74.58
Ethanol+Air,453.0,0.999,1.0,82.654
Ethanol+Air,453.0,1.002,1.0,78.657
Ethanol+Air,453.0,1.006,1.0,85.372
Ethanol+Air,453.0,1.051,1.0,87.05
Ethanol+Air,453.0,1.101,1.0,85.292
Ethanol+Air,453.0,1.104,1.0,82.494
Ethanol+Air,453.0,1.11,1.0,90.887
Ethanol+Air,453.0,1.151,1.0,82.494
Ethanol+Air,453.0,1.153,1.0,90.887
Ethanol+Air,453.0,1.172,1.0,91.367
Ethanol+Air,453.0,1.202,1.0,82.014
Ethanol+Air,453.0,1.204,1.0,81.295
Ethanol+Air,453.0,1.222,1.0,90.408
Ethanol+Air,453.0,1.248,1.0,86.331
Ethanol+Air,453.0,1.283,1.0,79.137
Ethanol+Air,453.0,1.302,1.0,83.213
Ethanol+Air,453.0,1.354,1.0,78.417
Ethanol+Air,453.0,1.402,1.0,74.101
Ethanol+Air,453.0,1.458,1.0,65.947
Ethanol+Air,453.0,1.504,1.0,54.676
Ethene+Air,300.0,0.551,1.0,10.192
Ethene+Air,300.0,0.577,1.0,12.35
Ethene+Air,300.0,0.595,1.0,13.369
Ethene+Air,300.0,0.6,1.0,12.974
Ethene+Air,300.0,0.601,1.0,14.868
Ethene+Air,300.0,0.626,1.0,16.906
Ethene+Air,300.0,0.646,1.0,18.585
Ethene+Air,300.0,0.649,1.0,18.106
Ethene+Air,300.0,0.65,1.0,17.346
Ethene+Air,300.0,0.653,1.0,17.026
Ethene+Air,300.0,0.695,1.0,22.782
Ethene+Air,300.0,0.697,1.0,24.82
Ethene+Air,300.0,0.697,5.0,13.501
Ethene+Air,300.0,0.698,1.0,21.702
Ethene+Air,300.0,0.699,1.0,21.523
Ethene+Air,300.0,0.699,5.0,17.719
Ethene+Air,300.0,0.7,2.0,16.947
Ethene+Air,300.0,0.702,2.0,17.658
Ethene+Air,300.0,0.703,1.0,21.183
Ethene+Air,300.0,0.722,1.0,20.863
Ethene+Air,300.0,0.745,1.0,27.458
Ethene+Air,300.0,0.752,1.0,24.86
Ethene+Air,300.0,0.755,1.0,25.54
Ethene+Air,300.0,0.758,1.0,25.659
Ethene+Air,300.0,0.773,1.0,23.861
Ethene+Air,300.0,0.795,1.0,31.655
Ethene+Air,300.0,0.796,1.0,34.652
Ethene+Air,300.0,0.798,1.0,32.854
Ethene+Air,300.0,0.798,3.0,21.498
Ethene+Air,300.0,0.798,4.0,20.026
Ethene+Air,300.0,0.799,1.0,27.578
Ethene+Air,300.0,0.799,5.0,16.605
Ethene+Air,300.0,0.8,5.0,21.498
Ethene+Air,300.0,0.801,1.0,29.065
Ethene+Air,300.0,0.801,2.0,22.947
Ethene+Air,300.0,0.802,2.0,23.737
Ethene+Air,300.0,0.804,1.0,29.736
Ethene+Air,300.0,0.844,1.0,32.614
Ethene+Air,300.0,0.847,1.0,35.851
Ethene+Air,300.0,0.85,1.0,33.173
Ethene+Air,300.0,0.853,1.0,32.974
Ethene+Air,300.0,0.862,1.0,31.894
Ethene+Air,300.0,0.893,1.0,36.691
Ethene+Air,300.0,0.897,1.0,39.689
Ethene+Air,300.0,0.899,1.0,35.803
Ethene+Air,300.0,0.899,4.0,23.05
Ethene+Air,300.0,0.899,5.0,23.289
Ethene+Air,300.0,0.9,1.0,37.57
Ethene+Air,300.0,0.901,2.0,28.395
Ethene+Air,300.0,0.901,3.0,27.506
Ethene+Air,300.0,0.901,4.0,27.905
Ethene+Air,300.0,0.901,5.0,28.7
Ethene+Air,300.0,0.902,1.0,36.661
Ethene+Air,300.0,0.902,2.0,34.079
Ethene+Air,300.0,0.903,2.0,29.5
Ethene+Air,300.0,0.945,1.0,36.811
Ethene+Air,300.0,0.947,1.0,42.086
Ethene+Air,300.0,0.948,1.0,38.809
Ethene+Air,300.0,0.951,1.0,36.93
Ethene+Air,300.0,0.996,1.0,44.095
Ethene+Air,300.0,0.997,1.0,42.806
Ethene+Air,300.0,0.999,3.0,27.984
Ethene+Air,300.0,0.999,4.0,30.928
Ethene+Air,300.0,0.999,5.0,26.711
Ethene+Air,300.0,1.0,1.0,39.358
Ethene+Air,300.0,1.001,2.0,33.553
Ethene+Air,300.0,1.001,3.0,35.942
Ethene+Air,300.0,1.001,5.0,32.202
Ethene+Air,300.0,1.002,4.0,26.95
Ethene+Air,300.0,1.003,1.0,40.767
Ethene+Air,300.0,1.003,2.0,36.447
Ethene+Air,300.0,1.046,1.0,45.923
Ethene+Air,300.0,1.049,1.0,40.368
Ethene+Air,300.0,1.052,1.0,41.127
Ethene+Air,300.0,1.058,1.0,40.528
Ethene+Air,300.0,1.096,1.0,45.084
Ethene+Air,300.0,1.097,4.0,31.963
Ethene+Air,300.0,1.097,5.0,28.382
Ethene+Air,300.0,1.098,1.0,42.526
Ethene+Air,300.0,1.099,1.0,46.243
Ethene+Air,300.0,1.099,3.0,32.758
Ethene+Air,300.0,1.099,5.0,34.271
Ethene+Air,300.0,1.1,1.0,45.084
Ethene+Air,300.0,1.1,2.0,36.395
Ethene+Air,300.0,1.101,1.0,40.819
Ethene+Air,300.0,1.106,1.0,41.007
Ethene+Air,300.0,1.123,1.0,41.127
Ethene+Air,300.0,1.145,1.0,43.645
Ethene+Air,300.0,1.148,1.0,46.043
Ethene+Air,300.0,1.151,1.0,40.888
Ethene+Air,300.0,1.178,1.0,41.127
Ethene+Air,300.0,1.197,1.0,42.686
Ethene+Air,300.0,1.197,3.0,34.111
Ethene+Air,300.0,1.197,5.0,27.347
Ethene+Air,300.0,1.198,1.0,43.605
Ethene+Air,300.0,1.199,2.0,32.026
Ethene+Air,300.0,1.199,3.0,31.326
Ethene+Air,300.0,1.199,4.0,29.019
Ethene+Air,300.0,1.2,1.0,39.868
Ethene+Air,300.0,1.201,1.0,44.245
Ethene+Air,300.0,1.201,2.0,35.5
Ethene+Air,300.0,1.201,5.0,31.963
Ethene+Air,300.0,1.203,1.0,39.368
Ethene+Air,300.0,1.204,1.0,38.609
Ethene+Air,300.0,1.221,1.0,40.647
Ethene+Air,300.0,1.245,1.0,43.046
Ethene+Air,300.0,1.252,1.0,38.249
Ethene+Air,300.0,1.267,1.0,39.448
Ethene+Air,300.0,1.297,1.0,37.35
Ethene+Air,300.0,1.298,1.0,39.928
Ethene+Air,300.0,1.299,1.0,39.568
Ethene+Air,300.0,1.3,2.0,26.816
Ethene+Air,300.0,1.301,1.0,34.013
Ethene+Air,300.0,1.301,2.0,29.974
Ethene+Air,300.0,1.301,3.0,26.472
Ethene+Air,300.0,1.301,5.0,26.95
Ethene+Air,300.0,1.302,1.0,34.652
Ethene+Air,300.0,1.304,1.0,35.252
Ethene+Air,300.0,1.307,1.0,37.89
Ethene+Air,300.0,1.344,1.0,32.974
Ethene+Air,300.0,1.35,1.0,34.092
Ethene+Air,300.0,1.353,1.0,30.815
Ethene+Air,300.0,1.393,1.0,25.54
Ethene+Air,300.0,1.397,1.0,32.614
Ethene+Air,300.0,1.399,1.0,27.338
Ethene+Air,300.0,1.401,3.0,20.981
Ethene+Air,300.0,1.401,5.0,20.265
Ethene+Air,300.0,1.402,1.0,29.257
Ethene+Air,300.0,1.402,2.0,23.158
Ethene+Air,300.0,1.403,4.0,17.003
Ethene+Air,300.0,1.414,1.0,26.139
Ethene+Air,300.0,1.448,1.0,23.921
Ethene+Air,300.0,1.449,1.0,28.058
Ethene+Air,300.0,1.451,1.0,22.662
Ethene+Air,300.0,1.483,1.0,19.784
Ethene+Air,300.0,1.497,1.0,18.705
Ethene+Air,300.0,1.499,1.0,23.501
Ethene+Air,300.0,1.502,1.0,17.626
Ethene+Air,300.0,1.503,1.0,21.103
Ethene+Air,300.0,1.549,1.0,18.765
Ethene+Air,300.0,1.574,1.0,17.866
Ethene+Air,300.0,1.595,1.0,16.787
Ethene+Air,300.0,1.6,1.0,20.024
Ethene+Air,300.0,1.602,1.0,15.108
Ethene+Air,300.0,1.603,1.0,15.948
Ethene+Air,300.0,1.648,1.0,16.307
Ethene+Air,300.0,1.697,1.0,13.729
Ethene+Air,300.0,1.7,1.0,11.271
Ethene+Air,300.0,1.749,1.0,13.549
Ethene+Air,300.0,1.795,1.0,11.99
Ethene+Air,300.0,1.797,1.0,9.832
Ethene+Air,300.0,1.801,1.0,8.753
Ethene+Air,300.0,1.847,1.0,11.031
Ethene+Air,300.0,1.896,1.0,7.914
Ethene+Air,300.0,1.899,1.0,6.954
Ethene+Air,300.0,1.948,1.0,9.832
Ethene+Air,300.0,1.998,1.0,6.235
Ethene+Air,300.0,2.001,1.0,5.396
Ethene+Air,300.0,2.002,1.0,9.832
Ethene+Air,300.0,2.099,1.0,5.516
Ethene+Air,300.0,2.103,1.0,4.676
Ethyl acetate-air,358.0,0.64,1.0,27.36
Ethyl acetate-air,358.0,0.68,1.0,32.088
Ethyl acetate-air,358.0,0.72,1.0,38.1
Ethyl acetate-air,358.0,0.76,1.0,40.788
Ethyl acetate-air,358.0,0.78,1.0,39.83
Ethyl acetate-air,358.0,0.8,1.0,42.022
Ethyl acetate-air,358.0,0.82,1.0,39.45
Ethyl acetate-air,358.0,0.84,1.0,40.47
Ethyl acetate-air,358.0,0.88,1.0,33.85
Ethyl acetate-air,358.0,0.92,1.0,25.595
Ethyl acetate-air,358.0,0.96,1.0,18.48
Ethyl acetate-air,363.0,0.7,1.0,30.715
Ethyl acetate-air,363.0,0.8,1.0,34.655
Ethyl acetate-air,363.0,0.9,1.0,39.43
Ethyl acetate-air,363.0,1.0,1.0,45.373
Ethyl acetate-air,363.0,1.1,1.0,46.39
Ethyl acetate-air,363.0,1.2,1.0,43.85
Ethyl acetate-air,363.0,1.3,1.0,38.325
Ethyl acetate-air,363.0,1.4,1.0,29.525
Ethyl acetate-air,363.0,1.5,1.0,19.115
Ethyl acetate-air,375.0,0.7,1.0,32.38
Ethyl acetate-air,393.0,0.7,1.0,35.26
Ethyl acetate-air,393.0,0.8,1.0,38.29
Ethyl acetate-air,393.0,0.9,1.0,44.985
Ethyl acetate-air,393.0,1.0,1.0,50.79
Ethyl acetate-air,393.0,1.1,1.0,52.155
Ethyl acetate-air,393.0,1.2,1.0,49.76
Ethyl acetate-air,393.0,1.3,1.0,44.43
Ethyl acetate-air,393.0,1.4,1.0,34.685
Ethyl acetate-air,393.0,1.5,1.0,22.285
Ethyl acetate-air,408.0,1.0,1.0,59.35
Ethyl acetate-air,417.0,0.7,1.0,39.99
Ethyl acetate-air,423.0,0.7,1.0,42.265
Ethyl acetate-air,423.0,0.8,1.0,49.84
Ethyl acetate-air,423.0,0.82,1.0,44.01
Ethyl acetate-air,423.0,0.9,1.0,56.03
Ethyl acetate-air,423.0,0.92,1.0,50.44
Ethyl acetate-air,423.0,1.0,1.0,58.103
Ethyl acetate-air,423.0,1.05,1.0,54.09
Ethyl acetate-air,423.0,1.1,1.0,62.32
Ethyl acetate-air,423.0,1.12,1.0,53.89
Ethyl acetate-air,423.0,1.2,1.0,56.38
Ethyl acetate-air,423.0,1.3,1.0,48.935
Ethyl acetate-air,423.0,1.4,1.0,37.865
Ethyl acetate-air,423.0,1.5,1.0,26.21
Ethyl acetate-air,438.0,1.5,1.0,29.69
Ethyl acetate-air,441.0,0.7,1.0,44.79
Ethyl acetate-air,447.0,1.0,1.0,66.27
Ethyl acetate-air,465.0,0.7,1.0,52.13
Ethyl acetate-air,471.0,1.5,1.0,35.72
Ethyl acetate-air,474.0,0.7,1.0,51.61
Ethyl acetate-air,474.0,1.0,1.0,69.94
Ethyl acetate-air,500.0,0.7,1.0,57.03
Ethyl acetate-air,500.0,0.8,1.0,65.61
Ethyl acetate-air,500.0,0.9,1.0,71.05
Ethyl acetate-air,500.0,1.0,1.0,76.24
Ethyl acetate-air,500.0,1.1,1.0,76.49
Ethyl acetate-air,500.0,1.2,1.0,73.29
Ethyl acetate-air,500.0,1.3,1.0,67.67
Ethyl acetate-air,500.0,1.4,1.0,55.24
Ethyl acetate-air,500.0,1.5,1.0,40.9
Ethyl acetate-air,501.0,0.7,1.0,57.19
Ethyl acetate-air,501.0,1.0,1.0,76.46
